activity,complexity
j2D_Arrays1,medium
j2D_Arrays2,medium
j2D_arrays3,medium
j2D_arrays4,medium
jArray1,medium
jArray2,medium
jArray3,hard
jArray4,medium
jArray5,medium
jArrayList1,medium
jArrayList2,medium
jArrayList3,medium
jArrayList4,hard
jArrayList5,medium
jBankAccount,medium
jBa_ques,medium
jBoolean_Method,medium
jBoolean_Operators,easy
jBoolean_Operators2,medium
jBoolean_Operators3,easy
jBoolean_Var,easy
jClass1,medium
jClasses4,medium
jClasses_Getter,medium
jConstants1,easy
jConstants2,easy
jConstants3,easy
jConstants4,hard
jConstants5,hard
jDouble1,easy
jDowhile1,easy
jDowhile2,easy
jDowhile3,easy
jDowhile4,medium
jDowhile6,easy
jDowhile8,medium
jExceptions1,hard
jExceptions2,hard
jExceptions3,hard
jExceptions4,medium
jExceptions5,medium
jFor1,easy
jFor2,easy
jFor3,easy
jFor4,medium
jFor5,hard
jIfelse1,easy
jIfelse2,medium
jIfelse3,medium
jIfelse4,medium
jIfelse5,medium
jIncrement,easy
jInheritance1,hard
jInheritance2,hard
jInheritance3,hard
jInheritance4,hard
jInheritance5,hard
jInheritance6,hard
jInteger1,easy
jInterfaces1,hard
jInterfaces2,hard
jInterfaces3,hard
jInterfaces4,hard
jInterfaces5,hard
jInt_Long,easy
jMathFuc1,easy
jMathFuc2,easy
jNested1,medium
jNested2,medium
jNested3,medium
jObjects1,easy
jObjects2,medium
jObjects3,easy
jObjects4,easy
jObjects5,easy
jOperator1,easy
jPrimitive_Float,easy
jString1,easy
jString2,medium
jString3,easy
jString4,easy
jString5,easy
jString6,easy
jString_to_Double,easy
jString_to_Int,easy
jSwitch1,medium
jSwitch2,medium
jSwitch3,medium
jVariable1,easy
jVariables1,easy
jVariables2,easy
jVariables3,easy
jVariables4,easy
jVariables5,easy
jWhile1,easy
jWhile2,easy
jWhile3,medium
jWhile4,medium
jWhile5,medium
jWrapper_Class1,easy
jWrapper_Class2,medium
jWrapper_Class3,medium
jWrapper_Class4,hard
