item,maxf,majority_vote,test
j2d_arrays1208,2,1,1
j2d_arrays1237,2,1,1
j2d_arrays1238,2,1,1
j2d_arrays1239,2,1,1
j2d_arrays1243,2,3,3
j2d_arrays1244,2,3,3
j2d_arrays1468,2,1,1
j2d_arrays1488,3,1,1
j2d_arrays1490,3,1,1
j2d_arrays1491,3,1,1
j2d_arrays1493,3,1,1
j2d_arrays1494,3,1,1
j2d_arrays1500,3,1,1
jarray1237,2,2,2
jarray1238,2,1,1
jarray1239,2,1,1
jarray1243,3,1,1
jarray1244,2,1,1
jarray1469,3,1,1
jarray1484,3,1,1
jarray1487,2,1,1
jarray1488,2,1,1
jarray1490,2,2,2
jarray1491,2,1,1
jarray1493,2,1,1
jarray1500,3,1,1
jarray2237,3,2,2
jarray2238,2,2,2
jarray2239,1,2,NULL
jarray2243,3,1,1
jarray2244,3,1,1
jarray2469,3,1,1
jarray2485,2,1,1
jarray2490,2,1,1
jarray2500,3,1,1
jarray4235,2,1,1
jarray4236,2,1,1
jarray4237,2,2,2
jarray4238,2,2,2
jarray4239,3,3,3
jarray4243,3,1,1
jarray4244,3,1,1
jarray4484,2,1,1
jarray4485,3,1,1
jarray4491,2,1,1
jarray4500,3,1,1
jbankaccount207,3,1,1
jbankaccount210,2,3,3
jbankaccount211,2,2,2
jbankaccount212,3,2,2
jbankaccount213,2,2,2
jbankaccount215,3,1,1
jbankaccount220,3,1,1
jbankaccount240,3,1,1
jbankaccount480,3,1,1
jbankaccount489,3,1,1
jbankaccount501,3,1,1
jbankaccount502,3,1,1
jba_ques207,3,1,1
jba_ques210,2,3,3
jba_ques211,3,2,2
jba_ques212,2,2,2
jba_ques213,2,2,2
jba_ques240,3,1,1
jba_ques480,3,1,1
jba_ques498,3,1,1
jba_ques501,3,1,1
jboolean_operators1230,2,1,1
jboolean_operators1231,2,2,2
jboolean_operators1463,2,2,2
jboolean_operators1464,2,3,3
jboolean_operators1469,2,2,2
jboolean_operators1473,2,3,3
jboolean_operators1487,2,1,1
jboolean_var214,3,2,2
jboolean_var219,3,1,1
jboolean_var229,2,2,2
jboolean_var230,2,3,3
jboolean_var231,2,3,3
jboolean_var463,3,2,2
jboolean_var469,2,1,1
jboolean_var494,1,2,NULL
jclass1207,3,1,1
jclass1208,2,1,1
jclass1211,2,2,2
jclass1212,3,2,2
jclass1213,3,2,2
jclass1215,3,1,1
jclass1494,3,1,1
jclass1501,2,1,1
jclasses_constructor207,3,1,1
jclasses_constructor210,2,3,3
jclasses_constructor211,3,2,2
jclasses_constructor212,2,2,2
jclasses_constructor213,2,2,2
jclasses_constructor480,3,1,1
jclasses_constructor501,3,1,1
jclasses_constructor502,3,1,1
jdouble1207,3,1,1
jdouble1208,3,2,2
jdouble1215,3,3,3
jdouble1218,2,1,1
jdouble1220,2,1,1
jdouble1468,3,1,1
jdouble1489,3,1,1
jdouble1498,3,1,1
jfor1234,3,3,3
jfor1236,3,2,2
jfor1238,2,2,2
jfor1239,3,1,1
jfor1469,3,1,1
jfor1482,2,2,2
jfor1484,2,1,1
jfor1485,2,1,1
jfor1486,2,1,1
jfor1487,2,1,1
jfor2218,2,1,1
jfor2230,3,1,1
jfor2234,2,3,3
jfor2236,2,2,2
jfor2238,2,2,2
jfor2239,2,1,1
jfor2484,2,1,1
jfor2485,2,1,1
jfor2487,2,2,2
jfor2494,3,1,1
jif_else1221,1,2,NULL
jif_else1225,3,3,3
jif_else1226,2,2,2
jif_else1230,2,1,1
jif_else1463,2,3,3
jif_else1469,2,3,3
jif_else5218,2,2,2
jif_else5221,2,2,2
jif_else5225,3,2,2
jif_else5226,2,2,2
jif_else5230,2,1,1
jif_else5235,3,1,1
jif_else5465,3,3,3
jif_else5469,2,1,1
jincrement207,2,1,1
jincrement208,2,1,1
jincrement213,3,1,1
jincrement219,2,3,3
jincrement221,2,1,1
jincrement468,3,1,1
jincrement469,2,1,1
jincrement473,1,2,NULL
jincrement474,1,2,NULL
jInheritance1210,2,2,2
jInheritance1211,2,2,2
jInheritance1213,2,1,1
jInheritance1217,3,1,1
jInheritance1231,3,1,1
jInheritance1248,2,2,2
jInheritance1498,2,2,2
jInheritance1501,2,3,3
jInheritance2210,2,2,2
jInheritance2211,2,2,2
jInheritance2217,3,1,1
jInheritance2248,2,2,2
jInheritance2497,2,2,2
jInheritance2498,2,1,1
jInheritance2501,2,3,3
jInheritance3210,2,2,2
jInheritance3211,3,2,2
jInheritance3213,2,1,1
jInheritance3248,2,2,2
jInheritance3497,2,2,2
jInheritance3498,2,1,1
jInheritance3501,2,2,2
jInheritance4210,2,2,2
jInheritance4211,3,2,2
jInheritance4213,2,1,1
jInheritance4217,3,1,1
jInheritance4241,2,2,2
jInheritance4248,2,2,2
jInheritance4489,2,2,2
jInheritance4498,2,1,1
jInheritance4501,2,2,2
joperator1218,2,3,3
joperator1221,3,3,3
joperator1225,1,2,NULL
joperator1226,2,2,2
joperator1243,3,1,1
joperator1468,2,1,1
joperator1469,3,1,1
joperator1473,2,1,1
jvariable1207,3,1,1
jvariable1213,3,1,1
jvariable1221,2,1,1
jvariable1467,3,1,1
jvariable1468,3,1,1
jvariable1469,3,1,1
jvariable1484,2,2,2
jvariable1487,1,2,NULL
jvariable1490,1,2,NULL
jvariable1492,2,1,1
jvariable1493,1,2,NULL
jwhile3232,3,3,3
jwhile3233,3,1,1
jwhile3234,3,1,1
jwhile3469,3,1,1
jwhile3479,3,3,3
jwhile3480,1,2,NULL
jwhile3484,3,1,1
jwhile3487,3,1,1
jwhile4221,3,2,2
jwhile4225,3,2,2
jwhile4226,3,2,2
jwhile4232,2,3,3
jwhile4233,3,1,1
jwhile4469,2,1,1
jwhile4470,1,2,NULL
jwhile4473,2,1,1
jwhile4480,2,2,2
jwhile4481,3,1,1
