rdfid,titleQ,diff
" j2d_arrays1 "," j2D_Arrays1  "," Low-Difficulty "
" jarray1 "," jArray1  "," High-Difficulty "
" jarray2 "," jArray2  "," High-Difficulty "
" jarray4 "," jArray4  "," High-Difficulty "
" jbankaccount "," jBankAccount  "," High-Difficulty "
" jba_ques "," jBa_ques  "," High-Difficulty "
" jboolean_operators1 "," jBoolean_Operators  "," Low-Difficulty "
" jboolean_var "," jBoolean_Var  "," Low-Difficulty "
" jclass1 "," jClass1  "," High-Difficulty "
" jclasses_constructor "," jClasses4  "," High-Difficulty "
" jdouble1 "," jDouble1  "," Low-Difficulty "
" jfor1 "," jFor1  "," Low-Difficulty "
" jfor2 "," jFor2  "," Low-Difficulty "
" jif_else1 "," jIfelse1  "," Low-Difficulty "
" jif_else5 "," jIfelse5  "," High-Difficulty "
" jincrement "," jIncrement  "," Low-Difficulty "
" jInheritance1 "," jInheritance1  "," High-Difficulty "
" jInheritance2 "," jInheritance2  "," High-Difficulty "
" jInheritance3 "," jInheritance3  "," High-Difficulty "
" jInheritance4 "," jInheritance4  "," High-Difficulty "
" joperator1 "," jOperator1  "," Low-Difficulty "
" jvariable1 "," jVariable1  "," Low-Difficulty "
" jwhile3 "," jWhile3  "," Low-Difficulty "
" jwhile4 "," jWhile4  "," Low-Difficulty "
